turfID,site,year,old,new,special,cover1,special2,cover2
M4-O,M,2014,Ajuga decumbens,Clinopodium polycephalum,,,,
M5-O,M,2013,Ajuga decumbens,Clinopodium polycephalum,,,,
M6-O,M,2013,Ajuga decumbens,Clinopodium polycephalum,,,,
M5-OTC,M,2013,Ajuga decumbens,Clinopodium polycephalum,,,,
H1-1,A,2012,Potentilla leuconota,Potentilla stenophylla,,,,
H2-1,A,2013,Potentilla leuconota,Potentilla stenophylla,,,,
H5-1,A,2012,Potentilla leuconota,Potentilla stenophylla,,,,
H6-1,A,2012,Potentilla leuconota,Potentilla stenophylla,,,,
H6-1 ,A,2014,Potentilla leuconota,Potentilla stenophylla,,,,
A1-C,A,2013,Potentilla stenophylla,Potentilla leuconota,,,,
A3-C,A,2012,Potentilla stenophylla,Potentilla leuconota,,,,
A3-2,A,2013,Potentilla leuconota,Potentilla stenophylla,,,,
A3-2,A,2015,Potentilla leuconota,Potentilla stenophylla,,,,
H5-C,H,2012,Potentilla leuconota,Potentilla stenophylla,,,,
H7-OTC,H,2012,Potentilla leuconota,Potentilla stenophylla,,,,
H1-3,L,2014,Potentilla leuconota,Potentilla stenophylla,,,,
H1-3,L,2014,Potentilla stenophylla,Potentilla leuconota,,,,
M5-1,L,2014,Anaphalis flavescens,Anaphalis auteopunctata,,,,
L4-2,M,2014,Anaphalis flavescens,Anaphalis auteopunctata,,,,
L4-2,M,2015,Anaphalis flavescens,Anaphalis auteopunctata,,,,
M5-2,M,2015,Anaphalis flavescens,Anaphalis auteopunctata,,,,
L7-2,M,2014,Anaphalis flavescens,Anaphalis auteopunctata,,,,
L7-2,M,2015,Anaphalis flavescens,Anaphalis auteopunctata,,,,
M1-C,M,2014,Anaphalis flavescens,Anaphalis auteopunctata,,,,
M2-C,M,2014,Anaphalis flavescens,Anaphalis auteopunctata,,,,
M3-C,M,2014,Anaphalis flavescens,Anaphalis auteopunctata,,,,
M4-O,M,2014,Anaphalis flavescens,Anaphalis auteopunctata,,,,
A4-C,A,2012,Juncus allioides,Juncus leucanthus,,,,
A4-C,A,2014,Juncus allioides,Juncus leucanthus,,,,
A6-C,A,2012,Juncus allioides,Juncus leucanthus,,,,
A6-C,A,2013,Juncus himalensis,Juncus leucanthus,,,,
A2-O,A,2013,Juncus himalensis,Juncus leucanthus,,,,
A2-O,A,2015,Juncus himalensis,Juncus leucanthus,,,,
M5-1,L,2013,Juncus leucanthus,Juncus himalensis,,,,
H4-1,A,2014,Parnassia pusilla,Sibbaldia pentaphylla,,,,
H7-1,A,2015,Parnassia pusilla,Sibbaldia pentaphylla,,,,
A1-C,A,2015,Parnassia pusilla,Ligularia subspicata,,,,
H4-1,A,2014,Parnassia pusilla,Sibbaldia pentaphylla,,,,
H7-1,A,2015,Parnassia pusilla,Sibbaldia pentaphylla,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
A2-OTC,,2012,,,,,,
A3-1,,2012,,,,,,
A3-O,,2012,,,,,,
A3-OTC,,2012,,,,,,
A4-O,,2012,,,,,,
A6-1,,2012,,,,,,
A6-O,,2012,,,,,,
A6-O,,2012,,,,,,
A7-1,,2012,,,,,,
A7-C,,2012,Swe.mac,,,,,
A7-OTC,,2012,,,,,,
H1-O,,2012,,,,,,
H1-O,,2012,,,,,,
H1-OTC,,2012,,,,,,
H2-1,,2012,,,,,,
H2-3,,2012,,,,,,
H2-C,,2012,,,,,,
H2-C,,2012,Kob.pyg,Kob.cer,,,,
H2-O,,2012,,,,,,
H2-OTC,,2012,Fes.spp,Car.spp,,,,
H3-1,,2012,,,,,,
H3-3,,2012,Sau.gra,Sau.cet,,,,
H4-1,,2012,,,,,,
H4-3,,2012,,,,,,
H4-C,,2012,,,,,,
H4-O,,2012,,,,,,
H4-O,,2012,Kob.pyg,Kob.cer,,,,
H4-O,,2012,,,,,,
H5-3,,2012,Kob.pyg,Kob.cer,,,,
H5-3,,2012,Vio.sze,Vio.bif,,,,
H5-O,,2012,,,,,,
L2-2,,2012,,,,,,
L2-O,,2012,,,,,,
L2-OTC,,2012,,,,,,
L4-OTC,,2012,,,,,,
L4-OTC,,2012,,,,,,
M1-C,,2012,,,,,,
M2-C,,2012,Sau.gra,You.rac,,,,
M2-O,,2012,Sau.gra,You.rac,,,,
M3-O,,2012,,,,,,
M6-OTC,,2012,,,,,,
M7-1,,2012,,,,,,
M7-OTC,,2012,,,,,,
A1-OTC,,2013,,,,,,
,,,,,,,,
A2-OTC,,2013,,,,,,
A3-1,,2013,,,,,,
A3-O,,2013,,,,,,
A3-OTC,,2013,,,,,,
A4-O,,2013,,,,,,
A6-1,,2013,,,,,,
A6-O,,2013,,,,,,
A6-O,,2013,Kob.pyg,Fes.spp,,,,
A7-1,,2013,,,,,,
A7-C,,2013,Swe.mac,,,,,
A7-OTC,,2013,,,,,,
H1-O,,2013,,,,,,
H1-O,,2013,,,,,,
H1-OTC,,2013,,,,,,
H2-1,,2013,And.min,Cya.hus,,,,
H2-3,,2013,Kob.pyg,Fes.spp,,,,
H2-C,,2013,And.min,Cya.hus,,,,
H2-C,,2013,Kob.pyg,Kob.cer,,,,
H2-O,,2013,,,,,,
H2-OTC,,2013,,,,,,
H3-1,,2013,Cha.vir,Cya.hus,,,,
H3-3,,2013,Sau.pac,Sau.cet,,,,
H4-1,,2013,,,,,,
H4-3,,2013,Kob.pyg,Fes.spp,,,,
H4-C,,2013,Sau.gra,Sau.pac,,,,
H4-O,,2013,And.min,Cya.hus,,,,
H4-O,,2013,Kob.pyg,Kob.cer,,,,
H4-O,,2013,,,,,,
H5-3,,2013,Kob.pyg,Kob.cer,,,,
H5-3,,2013,,,,,,
H5-O,,2013,And.min,Cya.hus,,,,
L2-2,,2013,,,,,,
L2-O,,2013,Ver.sze,Cli.pol,,,,
L2-OTC,,2013,,,,,,
L4-OTC,,2013,Ver.sze,Cli.pol,,,,
L4-OTC,,2013,,,,,,
M1-C,,2013,,,,,,
M2-C,,2013,,,,,,
M2-O,,2013,Sau.gra,You.rac,,,,
M3-O,,2013,,,,,,
M6-OTC,,2013,,,,,,
M7-1,,2013,,,,,,
M7-OTC,,2013,,,,,,
A1-OTC,,2014,,,,,,
Car.spp,,2014,,,,,,
A2-OTC,,2014,Fes.spp,Poa.spp,,,,
A3-1,,2014,Pol.run,Pol.viv,,,,
A3-O,,2014,,,,,,
A3-OTC,,2014,,,,,,
A4-O,,2014,,,,,,
A6-1,,2014,,,,,,
,,,,,,,,
A6-O,,2014,,,,,,
A7-1,,2014,Vio.sze,Ver.sze,,,,
A7-C,,2014,,,,,,
A7-OTC,,2014,,,,,,
H1-O,,2014,Kob.pyg,Fes.spp,,,,
H1-O,,2014,Pol.viv,Pol.mac,,,,
H1-OTC,,2014,,,,,,
H2-1,,2014,,,,,,
H2-3,,2014,,,,,,
H2-C,,2014,,,,,,
H2-C,,2014,Poa.spp,Kob.cer,,,,
H2-O,,2014,Poa.spp,Fes.spp,,,,
H2-OTC,,2014,,,,,,
H3-1,,2014,Poa.spp,Fes.spp,,,,
H3-3,,2014,,,,,,
H4-1,,2014,,,,,,
H4-3,,2014,Kob.pyg,Fes.spp,,,,
H4-C,,2014,,,,,,
H4-O,,2014,And.min,Cya.hus,,,,
H4-O,,2014,,,,,,
H4-O,,2014,Pol.viv,Pol.mac,,,,
H5-3,,2014,,,,,,
H5-3,,2014,,,,,,
H5-O,,2014,,,,,,
L2-2,,2014,Agr.ner,Poa.spp,,,,
L2-O,,2014,,,,,,
L2-OTC,,2014,,,,,,
L4-OTC,,2014,,,,,,
L4-OTC,,2014,Pru.his,,,,,
M1-C,,2014,,,,,,
M2-C,,2014,,,,,,
M2-O,,2014,,,,,,
M3-O,,2014,Mic.sik,Cli.pol,,,,
M6-OTC,,2014,,,,,,
M7-1,,2014,,,,,,
M7-OTC,,2014,,,,,,
A1-OTC,,2015,,,,,,
Car.spp,,2015,,,,,,
A2-OTC,,2015,,,,,,
A3-1,,2015,Pol.mac,Pol.viv,,,,
A3-O,,2015,Kob.pyg,Fes.spp,,,,
A3-OTC,,2015,Kob.pyg,Fes.spp,,,,
A4-O,,2015,Kob.pyg,Fes.spp,,,,
A6-1,,2015,Kob.pyg,Fes.spp,,,,
A6-O,,2015,,,,,,
A6-O,,2015,Kob.pyg,Fes.spp,,,,
A7-1,,2015,,,,,,
A7-C,,2015,,,,,,
A7-OTC,,2015,Poa.spp,Fes.spp,,,,
H1-O,,2015,Kob.pyg,Fes.spp,,,,
H1-O,,2015,,,,,,
H1-OTC,,2015,Sau.pac,Sau.cet,,,,
H2-1,,2015,,,,,,
H2-3,,2015,,,,,,
H2-C,,2015,,,,,,
H2-C,,2015,Sau.pac,Sau.cet,,,,
H2-O,,2015,,,,,,
H2-OTC,,2015,,,,,,
H3-1,,2015,Poa.spp,Fes.spp,,,,
H3-3,,2015,,,,,,
H4-1,,2015,Smi.jap,Sib.pen,,,,
H4-3,,2015,Kob.pyg,Fes.spp,,,,
H4-C,,2015,,,,,,
H4-O,,2015,,,,,,
H4-O,,2015,Kob.pyg,Kob.cer,,,,
H4-O,,2015,,,,,,
H5-3,,2015,,,,,,
H5-3,,2015,,,,,,
H5-O,,2015,,,,,,
L2-2,,2015,,,,,,
L2-O,,2015,,,,,,
L2-OTC,,2015,Ver.sze,Cli.pol,,,,
L4-OTC,,2015,,,,,,
L4-OTC,,2015,,,,,,
,,,,,,,,
M2-C,,2015,,,,,,
M2-O,,2015,Par.lat,You.rac,,,,
M3-O,,2015,,,,,,
M6-OTC,,2015,Agr.ner,Car.spp,,,,
M7-1,,2015,Kob.pyg,Car.spp,,,,
M7-OTC,,2015,Poa.spp,Fes.spp,,,,
